card,card_number,position1,position2
spade_2,1,"0, 1","8, 6"
spade_3,2,"0, 2","8, 5"
spade_4,3,"0, 3","8, 4"
spade_5,4,"0, 4","8, 3"
spade_6,5,"0, 5","8, 2"
spade_7,6,"0, 6","8, 1"
spade_8,7,"0, 7","7, 1"
spade_9,8,"0, 8","6, 1"
spade_10,9,"1, 9","5, 1"
spade_12,10,"2, 9","4, 1"
spade_13,11,"3, 9","3, 1"
spade_1,12,"4, 9","2, 1"
club_1,13,"8, 0","7, 5"
club_2,14,"1, 4","3, 6"
club_3,15,"1, 3","3, 5"
club_4,16,"1, 2","3, 4"
club_5,17,"1, 1","3, 3"
club_6,18,"1, 0","3, 2"
club_7,19,"2, 0","4, 2"
club_8,20,"3, 0","5, 2"
club_9,21,"4, 0","6, 2"
club_10,22,"5, 0","7, 2"
club_12,23,"6, 0","7, 3"
club_13,24,"7, 0","7, 4"
heart_1,25,"1, 5","4, 6"
heart_2,26,"8, 7","5, 4"
heart_3,27,"8, 8","5, 5"
heart_4,28,"7, 8","4, 5"
heart_5,29,"6, 8","4, 4"
heart_6,30,"5, 8","4, 3"
heart_7,31,"4, 8","5, 3"
heart_8,32,"3, 8","6, 3"
heart_9,33,"2, 8","6, 4"
heart_10,34,"1, 8","6, 5"
heart_12,35,"1, 7","6, 6"
heart_13,36,"1, 6","5, 6"
diamond_1,37,"9, 1","7, 6"
diamond_2,38,"5, 9","2, 2"
diamond_3,39,"6, 9","2, 3"
diamond_4,40,"7, 9","2, 4"
diamond_5,41,"8, 9","2, 5"
diamond_6,42,"9, 8","2, 6"
diamond_7,43,"9, 7","2, 7"
diamond_8,44,"9, 6","3, 7"
diamond_9,45,"9, 5","4, 7"
diamond_10,46,"9, 4","5, 7"
diamond_12,47,"9, 3","6, 7"
diamond_13,48,"9, 2","7, 7"
